id,name,team,position,age,height_cm,total_points,avg_per_match,attack_pts,attack_eff,attack_avg,block_pts,block_eff,block_avg,serve_pts,serve_eff,serve_avg
162122,Miran Kujundžić,SERBIA,PUNTA RECEPTOR,29,196,3,0.75,3,30.00%,0.75,0,0.00%,0.00,0,0.00%,0.00
162520,Yuri Romanò,ITALIA,OPUESTO,29,201,60,12.00,54,60.00%,10.80,3,14.29%,0.60,3,5.36%,0.60
162543,Nicolas Zerba,ARGENTINA,CENTRAL,27,203,69,5.75,50,56.18%,4.17,18,18.95%,1.50,1,0.99%,0.08
162546,Luciano Palonsky,ARGENTINA,PUNTA RECEPTOR,27,198,34,3.40,34,41.46%,3.40,0,0.00%,0.00,0,0.00%,0.00
162788,Eric Burggräf,ALEMANIA,ARMADOR,27,184,3,0.25,2,50.00%,0.17,0,0.00%,0.00,1,1.96%,0.08
162790,Florian Krage-Brewitz,ALEMANIA,CENTRAL,29,203,28,3.50,21,52.50%,2.62,6,14.63%,0.75,1,2.17%,0.12
163028,Lorenzo Cortesia,-,CENTRAL,27,198,12,3.00,9,42.86%,2.25,2,14.29%,0.50,1,5.26%,0.25
163030,Giovannimaria Gargiulo,-,CENTRAL,27,200,10,2.50,6,60.00%,1.50,3,15.79%,0.75,1,3.70%,0.25
163038,Kento Miyaura,JAPÓN,OPUESTO,27,190,128,8.53,122,55.20%,8.13,3,7.14%,0.20,3,2.73%,0.20
163087,Szymon Jakubiszak,POLONIA,CENTRAL,28,210,95,6.33,76,63.87%,5.07,18,17.48%,1.20,1,0.61%,0.07
163176,Mohammadreza Hazratpourtalatappeh,IRÁN,LÍBERO,27,187,0,0.00,0,-,-,0,-,-,0,-,-
163309,Théo Faure,FRANCIA,OPUESTO,26,202,16,4.00,15,46.88%,3.75,1,11.11%,0.25,0,0.00%,0.00
163447,Mattia Bottolo,ITALIA,PUNTA RECEPTOR,26,196,169,13.00,144,49.32%,11.08,14,23.73%,1.08,11,7.14%,0.85
163516,Tatsunori Otsuka,JAPÓN,PUNTA RECEPTOR,25,195,52,3.71,49,43.75%,3.50,1,3.57%,0.07,2,2.02%,0.14
163519,Yuji Nishida,JAPÓN,OPUESTO,26,187,142,10.92,122,45.52%,9.38,10,13.89%,0.77,10,6.85%,0.77
163555,Luciano Vicentin,ARGENTINA,PUNTA RECEPTOR,26,197,185,15.42,157,48.91%,13.08,13,18.57%,1.08,15,7.50%,1.25
163563,Filip John,-,OPUESTO,25,204,70,8.75,65,46.76%,8.12,2,8.70%,0.25,3,4.92%,0.38
163592,Tobias Brand,ALEMANIA,PUNTA RECEPTOR,28,194,138,11.50,118,43.70%,9.83,9,16.67%,0.75,11,6.51%,0.92
164029,Luca Ramon,FRANCIA,LÍBERO,26,186,0,0.00,0,-,-,0,-,-,0,-,-
164031,François Huetz,FRANCIA,CENTRAL,26,202,57,4.75,38,67.86%,3.17,16,21.62%,1.33,3,4.11%,0.25
164088,Ertuğrul Gazi Metin,-,CENTRAL,30,204,1,1.00,0,-,-,0,-,-,1,33.33%,1.00
164124,Mateusz Poreba,-,CENTRAL,27,205,10,2.50,7,100%,1.75,2,16.67%,0.50,1,8.33%,0.25
164125,Bartosz Firszt,-,PUNTA RECEPTOR,27,198,23,5.75,20,40.00%,5.00,1,9.09%,0.25,2,8.70%,0.50
164146,Ahmet Samet Baltaci,TURQUÍA,CENTRAL,27,210,6,0.46,3,60.00%,0.23,3,23.08%,0.23,0,0.00%,0.00
164158,Ahmet Tümer,TURQUÍA,CENTRAL,24,204,104,8.00,78,63.93%,6.00,19,15.45%,1.46,7,4.49%,0.54
164160,Kaan Gürbüz,TURQUÍA,OPUESTO,25,200,37,2.85,29,51.79%,2.23,2,10.53%,0.15,6,11.32%,0.46
164163,Bedirhan Bülbül,TURQUÍA,CENTRAL,27,201,119,9.92,76,54.29%,6.33,41,28.67%,3.42,2,1.14%,0.17
164313,Matheus Bispo dos Santos,BRASIL,CENTRAL,30,207,48,4.36,36,61.02%,3.27,10,17.86%,0.91,2,3.57%,0.18
164897,Simon Valentin Torwie,ALEMANIA,CENTRAL,24,203,64,5.33,37,53.62%,3.08,18,18.75%,1.50,9,7.96%,0.75
164913,Klemen Sen,ESLOVENIA,PUNTA RECEPTOR,24,192,38,2.53,27,42.19%,1.80,6,18.75%,0.40,5,7.58%,0.33
164985,Aleksandar Nedeljković,SERBIA,CENTRAL,28,205,100,8.33,70,58.82%,5.83,23,17.97%,1.92,7,4.64%,0.58
165212,Luke Herr,CANADÁ,ARMADOR,32,192,10,0.83,2,66.67%,0.17,8,14.55%,0.67,0,0.00%,0.00
165921,Noa Duflos Rossi,FRANCIA,PUNTA RECEPTOR,19,198,13,1.08,11,35.48%,0.92,0,0.00%,0.00,2,2.90%,0.17
165953,Mikolaj Sawicki,-,PUNTA RECEPTOR,26,198,2,0.50,0,-,-,0,-,-,2,12.50%,0.50
167803,Zhai Wu,CHINA,ARMADOR,28,189,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
168175,Shikun Peng,CHINA,CENTRAL,26,208,85,6.54,58,50.00%,4.46,14,12.61%,1.08,13,8.18%,1.00
168268,Iliya Petkov,BULGARIA,CENTRAL,29,202,63,5.25,41,57.75%,3.42,13,17.33%,1.08,9,8.49%,0.75
168269,Asparuh Asparuhov,BULGARIA,PUNTA RECEPTOR,26,200,135,11.25,106,50.72%,8.83,12,17.65%,1.00,17,10.18%,1.42
168412,Christian Manuel Thondike Mejias,CUBA,ARMADOR,25,190,34,2.83,15,55.56%,1.25,18,25.35%,1.50,1,0.95%,0.08
168418,Alejandro Miguel Gonzalez Rodriguez,CUBA,OPUESTO,23,207,60,5.00,51,42.15%,4.25,8,30.77%,0.67,1,2.56%,0.08
168461,Mason Briggs,ESTADOS UNIDOS,LÍBERO,25,182,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
168562,Ali Hajipour MoghadDam FaroUji,IRÁN,OPUESTO,25,198,185,16.82,154,54.23%,14.00,21,27.63%,1.91,10,6.90%,0.91
168715,Uroš Planinšič,ESLOVENIA,ARMADOR,28,185,25,1.67,0,0.00%,0.00,14,14.58%,0.93,11,4.91%,0.73
168718,Beytullah Hatipoglu,-,LÍBERO,34,190,0,0.00,0,-,-,0,-,-,0,-,-
168747,Rok Možič,ESLOVENIA,PUNTA RECEPTOR,24,200,221,14.73,184,57.50%,12.27,26,24.07%,1.73,11,7.05%,0.73
168914,Brodie Hofer,CANADÁ,PUNTA RECEPTOR,26,199,39,3.25,31,40.26%,2.58,5,22.73%,0.42,3,4.17%,0.25
168918,Xander Ketrzynski,CANADÁ,OPUESTO,26,208,135,11.25,121,48.21%,10.08,9,13.43%,0.75,5,4.85%,0.42
168923,Landon Currie,-,LÍBERO,26,175,0,0.00,0,-,-,0,-,-,0,-,-
169299,Lei Li,CHINA,PUNTA RECEPTOR,25,201,47,3.62,42,42.00%,3.23,4,16.67%,0.31,1,2.17%,0.08
169310,Bin Wang,CHINA,PUNTA RECEPTOR,25,195,154,11.85,133,46.50%,10.23,11,17.74%,0.85,10,7.35%,0.77
169578,Jackson Howe,CANADÁ,CENTRAL,28,198,135,11.25,83,64.34%,6.92,45,23.68%,3.75,7,4.17%,0.58
169728,Merrick McHenry,ESTADOS UNIDOS,CENTRAL,25,200,86,6.14,60,57.69%,4.29,26,16.67%,1.86,0,0.00%,0.00
169859,Matthew Knigge,ESTADOS UNIDOS,CENTRAL,30,201,8,0.80,7,70.00%,0.70,0,0.00%,0.00,1,7.14%,0.10
170104,Jake Hanes,ESTADOS UNIDOS,OPUESTO,28,210,223,14.87,179,55.25%,11.93,18,14.63%,1.20,26,15.03%,1.73
171595,Aliaksei Nasevich,-,OPUESTO,23,200,44,7.33,40,50.63%,6.67,2,8.00%,0.33,2,5.56%,0.33
172893,Tomohiro Yamamoto,JAPÓN,LÍBERO,31,171,0,0.00,0,-,-,0,-,-,0,-,-
172961,Paolo Porro,-,ARMADOR,24,185,11,1.38,3,60.00%,0.38,3,10.71%,0.38,5,6.10%,0.62
172988,Wout D'heer,BÉLGICA,CENTRAL,25,203,67,5.58,46,61.33%,3.83,20,20.20%,1.67,1,0.92%,0.08
172989,Samuel Fafchamps,BÉLGICA,CENTRAL,25,202,74,6.17,52,56.52%,4.33,18,16.98%,1.50,4,3.10%,0.33
173249,Aleksa Batak,SERBIA,ARMADOR,26,198,15,1.25,7,43.75%,0.58,7,8.97%,0.58,1,0.86%,0.08
173250,Vuk Todorović,SERBIA,ARMADOR,28,190,2,0.25,1,100%,0.12,1,20.00%,0.12,0,0.00%,0.00
173251,Pavle Perić,SERBIA,PUNTA RECEPTOR,28,207,83,6.92,71,34.80%,5.92,10,24.39%,0.83,2,2.13%,0.17
173256,Stefan Negic,SERBIA,LÍBERO,26,180,0,0.00,0,-,-,0,-,-,0,-,-
174074,Leandro Ausibio Mosca,-,CENTRAL,26,210,11,1.38,8,57.14%,1.00,3,21.43%,0.38,0,0.00%,0.00
174076,Giovanni Sanguinetti,ITALIA,CENTRAL,26,203,100,7.69,73,56.59%,5.62,16,15.24%,1.23,11,8.27%,0.85
174158,Zongshuai Qu,CHINA,LÍBERO,27,186,0,0.00,0,-,-,0,-,-,0,-,-
174213,Efe Bayram,TURQUÍA,PUNTA RECEPTOR,24,194,111,8.54,89,41.40%,6.85,16,24.24%,1.23,6,3.33%,0.46
174256,Yurii Semeniuk,UCRANIA,CENTRAL,32,210,129,9.92,85,58.22%,6.54,31,20.95%,2.38,13,7.74%,1.00
174297,Hebin Wang,CHINA,ARMADOR,27,188,19,1.46,2,40.00%,0.15,11,19.64%,0.85,6,3.53%,0.46
174373,Mohammad Valizadeh,IRÁN,CENTRAL,25,204,71,6.45,53,51.96%,4.82,16,16.00%,1.45,2,1.40%,0.18
174460,Damyan Kolev,BULGARIA,LÍBERO,24,176,0,0.00,0,-,-,0,-,-,0,-,-
174462,Rusi Zhelev,BULGARIA,PUNTA RECEPTOR,24,197,0,0.00,0,-,-,0,-,-,0,-,-
174484,Georgi Tatarov,-,PUNTA RECEPTOR,23,198,1,0.25,1,33.33%,0.25,0,0.00%,0.00,0,-,-
174660,Erik Röhrs,ALEMANIA,PUNTA RECEPTOR,25,201,159,13.25,148,48.84%,12.33,4,6.25%,0.33,7,5.00%,0.58
174807,Francesco Sani,ITALIA,PUNTA RECEPTOR,24,203,38,2.92,28,48.28%,2.15,6,40.00%,0.46,4,5.26%,0.31
174853,Manuel Armoa,ARGENTINA,PUNTA RECEPTOR,23,195,127,11.55,108,53.47%,9.82,8,18.18%,0.73,11,8.53%,1.00
174902,Darlan Ferreira Souza,BRASIL,OPUESTO,24,192,165,13.75,138,50.55%,11.50,10,13.33%,0.83,17,13.49%,1.42
174908,Adriano Fernandes P.X.Cavalcante,BRASIL,PUNTA RECEPTOR,24,201,100,8.33,84,44.21%,7.00,2,6.90%,0.17,14,8.28%,1.17
175219,Seppe Van Hoyweghen,BÉLGICA,ARMADOR,25,198,1,0.12,0,0.00%,0.00,1,20.00%,0.12,0,0.00%,0.00
176165,Kobe Verwimp,BÉLGICA,PUNTA RECEPTOR,21,181,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
176172,Ferre Reggers,BÉLGICA,OPUESTO,23,204,268,22.33,246,49.50%,20.50,9,11.69%,0.75,13,8.18%,1.08
176222,Serhii Yevstratov,-,ARMADOR,33,190,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
176897,Yevhenii Kisiliuk,UCRANIA,PUNTA RECEPTOR,31,197,5,0.38,4,57.14%,0.31,1,33.33%,0.08,0,0.00%,0.00
177006,Mirza Lagumdzija,TURQUÍA,PUNTA RECEPTOR,25,207,70,5.38,59,44.70%,4.54,11,20.75%,0.85,0,0.00%,0.00
178341,Arthur Bento Buczmiejuk,BRASIL,PUNTA RECEPTOR,22,205,30,3.00,27,43.55%,2.70,2,18.18%,0.20,1,3.57%,0.10
178761,Shoma Tomita,JAPÓN,PUNTA RECEPTOR,29,190,38,2.71,32,50.79%,2.29,2,20.00%,0.14,4,6.25%,0.29
178762,Ran Takahashi,JAPÓN,PUNTA RECEPTOR,25,188,262,17.47,221,50.80%,14.73,17,15.45%,1.13,24,9.64%,1.60
179414,Luka Marovt,ESLOVENIA,PUNTA RECEPTOR,21,195,9,0.75,7,46.67%,0.58,0,0.00%,0.00,2,11.76%,0.17
179527,Yevhenii Boiko,UCRANIA,PUNTA RECEPTOR,21,185,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
179568,Zarko Ubiparip,SERBIA,PUNTA RECEPTOR,26,195,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,-,-
179839,Denys Veletskyi,UCRANIA,CENTRAL,26,205,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
179978,Michal Gierzot,-,PUNTA RECEPTOR,24,208,49,8.17,39,40.62%,6.50,7,28.00%,1.17,3,4.35%,0.50
180586,Aleksandar Nikolov,BULGARIA,PUNTA RECEPTOR,22,207,278,23.17,247,53.93%,20.58,11,18.64%,0.92,20,10.87%,1.67
180990,Tomohiro Ogawa,JAPÓN,LÍBERO,30,176,0,0.00,0,-,-,0,-,-,0,-,-
181103,Yongzhen Li,CHINA,CENTRAL,28,198,75,6.25,58,64.44%,4.83,12,15.38%,1.00,5,5.68%,0.42
181197,Mousse Gueye,FRANCIA,CENTRAL,29,198,46,3.83,31,67.39%,2.58,8,18.18%,0.67,7,10.14%,0.58
181605,Simeon Nikolov,BULGARIA,ARMADOR,19,208,58,4.83,24,42.86%,2.00,17,19.77%,1.42,17,8.50%,1.42
181806,Venislav Antov,BULGARIA,OPUESTO,22,196,8,0.67,7,63.64%,0.58,1,20.00%,0.08,0,0.00%,0.00
181809,Stoil Palev,BULGARIA,ARMADOR,23,188,1,0.08,0,-,-,0,-,-,1,6.25%,0.08
181816,Boris Nachev,BULGARIA,CENTRAL,22,206,2,0.17,1,33.33%,0.08,0,0.00%,0.00,1,50.00%,0.08
181883,Basil Dermaux,-,OPUESTO,23,198,14,3.50,12,52.17%,3.00,1,25.00%,0.25,1,9.09%,0.25
181889,Pierre Perin,-,PUNTA RECEPTOR,22,191,94,11.75,76,53.52%,9.50,6,16.22%,0.75,12,13.95%,1.50
182150,Preslav Petkov,BULGARIA,CENTRAL,22,206,7,0.58,4,57.14%,0.33,2,10.53%,0.17,1,4.00%,0.08
182291,Leonard Graven,ALEMANIA,LÍBERO,22,180,0,0.00,0,-,-,0,-,-,0,-,-
182292,Luca Porro,ITALIA,PUNTA RECEPTOR,22,193,100,7.69,83,44.62%,6.38,8,15.69%,0.62,9,7.63%,0.69
182299,Joscha Kunstmann,-,CENTRAL,23,201,3,0.75,2,33.33%,0.50,1,33.33%,0.25,0,0.00%,0.00
182322,Samuel Carazzai de Morais Neufeld,-,OPUESTO,22,203,0,-,0,-,-,0,-,-,0,-,-
182325,Nik Mujanović,ESLOVENIA,OPUESTO,21,207,277,18.47,236,49.27%,15.73,21,20.00%,1.40,20,10.81%,1.33
182409,Alessandro Alberto Bovolenta,ITALIA,OPUESTO,22,202,94,7.23,79,47.31%,6.08,9,18.75%,0.69,6,6.59%,0.46
182414,Gabriele Laurenzano,ITALIA,LÍBERO,23,176,0,0.00,0,-,-,0,-,-,0,-,-
182435,Mattia Orioli,-,PUNTA RECEPTOR,22,199,0,0.00,0,-,-,0,0.00%,0.00,0,-,-
182436,Mattia Boninfante,-,ARMADOR,22,188,1,0.25,0,-,-,0,0.00%,0.00,1,12.50%,0.25
182462,Ilshan Davoodipour,IRÁN,ARMADOR,23,189,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
182466,Yousef Kazemi Poshtpari,IRÁN,CENTRAL,23,207,26,2.60,21,63.64%,2.10,4,9.76%,0.40,1,2.86%,0.10
182469,Amir Mohammad Golzadeh,-,OPUESTO,23,205,2,2.00,2,40.00%,2.00,0,-,-,0,0.00%,0.00
182470,Poriya Hossein Khanzadeh Firouzjah,IRÁN,PUNTA RECEPTOR,22,198,102,8.50,88,53.33%,7.33,3,11.54%,0.25,11,10.89%,0.92
182474,Mobin Nasri Mastanabad,IRÁN,PUNTA RECEPTOR,23,201,26,2.17,21,46.67%,1.75,4,36.36%,0.33,1,2.22%,0.08
182475,Arshia Behnezhad,IRÁN,ARMADOR,23,194,10,0.83,6,40.00%,0.50,3,6.98%,0.25,1,0.67%,0.08
182479,Hossein Haji Kalateh,IRÁN,LÍBERO,21,175,0,0.00,0,-,-,0,-,-,0,-,-
182488,Jakub Majchrzak,POLONIA,CENTRAL,22,207,16,4.00,8,66.67%,2.00,6,37.50%,1.50,2,8.00%,0.50
182717,Lucas Conde,ARGENTINA,PUNTA RECEPTOR,21,193,0,-,0,-,-,0,-,-,0,-,-
182809,Grega Okroglič,ESLOVENIA,LÍBERO,22,185,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
182812,Nejc Najdič,ESLOVENIA,ARMADOR,20,198,4,0.27,1,50.00%,0.07,1,6.67%,0.07,2,6.67%,0.13
182827,Jakdiel Contreras Acosta,-,CENTRAL,22,203,0,-,0,-,-,0,-,-,0,-,-
182851,Thiago Suarez Mendoza,CUBA,CENTRAL,21,194,19,1.58,11,50.00%,0.92,8,34.78%,0.67,0,0.00%,0.00
183138,Ethan Champlin,ESTADOS UNIDOS,PUNTA RECEPTOR,24,191,83,5.53,70,40.94%,4.67,6,18.18%,0.40,7,5.69%,0.47
183274,Cory Schoenherr,CANADÁ,CENTRAL,23,204,3,0.43,2,50.00%,0.29,1,33.33%,0.14,0,0.00%,0.00
183444,Erik Siksna,CANADÁ,PUNTA RECEPTOR,25,198,23,2.09,19,35.85%,1.73,4,25.00%,0.36,0,0.00%,0.00
183453,Jackson Young,CANADÁ,PUNTA RECEPTOR,25,195,103,8.58,85,42.93%,7.08,12,19.35%,1.00,6,4.76%,0.50
183831,Bartosz Gomułka,-,OPUESTO,24,204,42,10.50,34,47.22%,8.50,2,15.38%,0.50,6,18.18%,1.50
183849,Adrian Markiewicz,-,CENTRAL,24,213,4,1.00,3,100%,0.75,0,-,-,1,10.00%,0.25
184322,Yann Böhme,ALEMANIA,OPUESTO,29,203,125,10.42,104,46.64%,8.67,9,15.25%,0.75,12,11.54%,1.00
185275,Maksymilian Granieczny,POLONIA,LÍBERO,21,179,0,0.00,0,-,-,0,-,-,0,-,-
185708,Janž Janez Kržič,ESLOVENIA,CENTRAL,23,202,14,1.00,9,90.00%,0.64,4,16.00%,0.29,1,3.45%,0.07
185855,Pardo Mati,ITALIA,CENTRAL,20,204,62,6.89,35,62.50%,3.89,19,22.35%,2.11,8,8.51%,0.89
186071,Warre Vandecruys,BÉLGICA,OPUESTO,20,198,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
186251,Amir Tizi-Oualou,FRANCIA,ARMADOR,20,197,2,0.17,0,0.00%,0.00,1,11.11%,0.08,1,2.22%,0.08
186253,Mathis Henno,FRANCIA,PUNTA RECEPTOR,21,193,189,15.75,165,45.58%,13.75,11,13.58%,0.92,13,7.47%,1.08
186258,Thomas Pujol,FRANCIA,PUNTA RECEPTOR,21,198,7,0.58,6,37.50%,0.50,0,0.00%,0.00,1,9.09%,0.08
187466,Gustavo Maciel,-,CENTRAL,24,205,0,-,0,-,-,0,-,-,0,-,-
187493,Judson Amabel Nunes da Cunha Jr,BRASIL,CENTRAL,27,204,79,6.58,60,65.93%,5.00,15,21.13%,1.25,4,4.71%,0.33
187495,Jošt Kržič,ESLOVENIA,CENTRAL,20,200,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
