id,name,team,position,age,height_cm,total_points,avg_per_match,attack_pts,attack_eff,attack_avg,block_pts,block_eff,block_avg,serve_pts,serve_eff,serve_avg
201218,Pouya Ariakhah,-,OPUESTO,20,205,9,2.25,7,70.00%,1.75,2,50.00%,0.50,0,0.00%,0.00
201232,Shayan Mehrabi,IRÁN,CENTRAL,20,204,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
201415,Ali Haghparast,IRÁN,PUNTA RECEPTOR,21,198,149,12.42,125,47.53%,10.42,10,16.67%,0.83,14,9.09%,1.17
201698,Lasse Van Genechten,BÉLGICA,CENTRAL,21,203,1,0.12,0,-,-,1,50.00%,0.12,0,0.00%,0.00
201866,Marcel Bakaj,-,ARMADOR,21,189,1,0.12,0,-,-,1,100%,0.12,0,0.00%,0.00
202582,Abdulsamet Yalçin,TURQUÍA,LÍBERO,26,191,0,0.00,0,-,-,0,-,-,0,-,-
202776,Hanlin Hu,CHINA,CENTRAL,18,205,7,0.88,5,55.56%,0.62,0,0.00%,0.00,2,16.67%,0.25
202863,Daniel Iyegbekedo,FRANCIA,CENTRAL,19,205,73,6.08,49,56.98%,4.08,23,23.71%,1.92,1,1.14%,0.08
203735,Tianyue Li,CHINA,LÍBERO,24,183,0,0.00,0,-,-,0,-,-,0,-,-
207656,Bartosz Zych,-,PUNTA RECEPTOR,20,207,6,1.50,5,83.33%,1.25,1,25.00%,0.25,0,0.00%,0.00
209863,Keigo Nishimoto,JAPÓN,CENTRAL,27,188,26,2.17,18,54.55%,1.50,7,18.42%,0.58,1,1.72%,0.08
210661,Quintin Greenidge,CANADÁ,LÍBERO,21,172,0,0.00,0,-,-,0,-,-,0,-,-
210663,Cody Hudson,-,CENTRAL,21,205,0,-,0,-,-,0,-,-,0,-,-
211065,Valentin Predan,-,ARMADOR,16,186,0,-,0,-,-,0,-,-,0,-,-
212847,Mohammadnima Bateni,IRÁN,CENTRAL,18,203,17,4.25,14,63.64%,3.50,2,15.38%,0.50,1,3.70%,0.25
213199,Cooper Robinson,ESTADOS UNIDOS,PUNTA RECEPTOR,24,202,25,2.50,19,39.58%,1.90,2,15.38%,0.20,4,12.12%,0.40
214587,Baoqi Yang,CHINA,PUNTA RECEPTOR,22,197,16,1.23,12,32.43%,0.92,0,0.00%,0.00,4,7.02%,0.31
214681,Mohsen Delavari,IRÁN,OPUESTO,24,208,13,1.62,11,37.93%,1.38,1,10.00%,0.12,1,6.67%,0.12
222297,Seyed Eisa Naseri Chenari,IRÁN,CENTRAL,25,203,44,3.67,34,64.15%,2.83,8,13.11%,0.67,2,2.27%,0.17
229281,Jakub Ciunajtis,-,LÍBERO,28,180,0,0.00,0,-,-,0,-,-,0,-,-
233618,Zhihong Xue,-,PUNTA RECEPTOR,24,195,18,2.57,15,44.12%,2.14,2,22.22%,0.29,1,4.35%,0.14
237900,Changli Wang,CHINA,CENTRAL,24,205,7,0.88,5,55.56%,0.62,1,8.33%,0.12,1,7.69%,0.12
